,Hour,Day,Glucose (0.37 W/m³),Acetic (0.37 W/m³),Butyric (0.37 W/m³),Caproic (0.37 W/m³),Ethanol (0.37 W/m³),Lactic (0.37 W/m³),Glucose (67.92 W/m³),Acetic (67.92 W/m³),Butyric (67.92 W/m³),Caproic (67.92 W/m³),Ethanol (67.92 W/m³)
0,0,0.0,26.959,0.0,0.171,,,,27.1,0.0,0.171,,
1,11,0.458333333,20.355,0.522,1.623,,,,18.589,0.729,2.02,,
2,14,0.583333333,16.369,0.814,2.508,,,,13.909,1.213,3.189,,0.1
3,18,0.75,11.662,1.298,3.624,,0.135,,8.311,1.762,4.318,,0.162
4,25,1.041666667,6.581,1.714,4.512,,0.102,,3.697,2.204,5.285,,
5,38,1.583333333,0.798,2.371,6.092,,0.097,0.122,0.0,2.647,6.609,,0.208
6,64,2.666666667,0.0,2.442,6.471,,0.198,,,2.903,6.667,,0.098
7,88,3.666666667,,2.554,6.381,0.0,0.106,,,2.732,6.491,0.0,0.096
8,116,4.833333333,,2.593,6.516,0.063,0.109,,,2.985,6.691,0.173,
9,137,5.708333333,,2.749,6.509,0.217,,,,3.024,6.721,0.229,
10,160,6.666666667,,2.64,6.413,0.278,0.105,,,3.056,6.678,0.272,
11,185,7.708333333,,2.672,6.491,0.347,0.187,,,3.061,6.6,0.282,0.176
12,210,8.75,,2.708,6.456,0.345,0.215,,,2.943,6.64,0.299,0.16
13,231,9.625,,2.799,6.78,0.391,0.179,,,3.285,6.947,0.339,
14,258,10.75,,2.693,6.349,0.372,0.113,,,3.296,7.025,0.341,0.2
15,280,11.66666667,,3.136,7.42,0.44,0.099,,,3.48,7.203,0.351,0.106
16,307,12.79166667,,2.639,6.349,0.381,0.115,,,2.989,6.377,0.35,
