,Genus,S85,S82,S92,S80,S83
18,Clostridium_sensu_stricto_1,0.9597485078272682,0.9689583262110693,0.9625646683304593,0.8492397629454813,0.6678759573551288
20,Clostridium_sensu_stricto_11,0.0020709870642961,0.0117602816997706,0.0162059103908481,0.1305408811777636,0.2958314220980496
25,Clostridium_sensu_stricto_5,0.013657894177871,0.0144952309322756,0.0191835991473952,0.0149097637499663,0.0073252435956242
